Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2
55,1,1,58138,0,0,09/04/2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0
60,1,1,46344,1,1,03/08/2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0
48,1,3,71613,0,0,21/08/2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0
30,1,3,26646,1,0,02/10/2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0
33,3,2,58293,1,0,19/01/2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0
46,2,3,62513,0,1,09/09/2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0
41,1,4,55635,0,1,13/11/2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0
28,3,2,33454,1,0,05/08/2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0
39,3,3,30351,1,0,06/06/2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0
64,3,3,5648,1,1,13/03/2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0
30,1,2,52251,1,0,15/11/2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0
36,0,2,7500,0,0,13/11/2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0
54,1,4,63033,0,0,15/11/2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0
61,2,4,59354,1,1,15/11/2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0
25,1,2,17323,0,0,10/10/2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0
66,3,1,82800,0,0,24/11/2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0
